Source	Target	Weight
Guangzhou	Shanghai	0.808684
Ningbo	Shanghai	2.374098
Jiaxing	Shanghai	5.823327
Hefei	Shanghai	1.652519
Taizhou	Shanghai	0.684417
Nantong	Shanghai	5.180169
Nanjing	Shanghai	2.442237
Lu'an	Shanghai	0.708139
Linyi	Shanghai	0.500658
Shaoxing	Jinhua	7.177707
Shaoxing	Suzhou	0.681598
Jinhua	Shaoxing	7.661015
Suzhou	Shaoxing	1.581654
Shenyang	Tianjin	0.615601
Shenyang	Beijing	0.733026
Tianjin	Shenyang	0.923929
Beijing	Shenyang	2.201541
Shanghai	Shenyang	0.74265
Shenzhen	Changsha	1.346842
Shenzhen	Wenzhou	0.661617
Changsha	Shenzhen	0.742199
Shijiazhuang	Liaocheng	0.923628
Shijiazhuang	Tianjin	1.93032
Zhengzhou	Shijiazhuang	0.800865
Liaocheng	Shijiazhuang	0.597387
Tianjin	Shijiazhuang	2.903891
Shanghai	Shijiazhuang	0.535376
Suzhou	Suzhou	0.732895
Suzhou	Wuxi	0.500395
Suzhou	Suzhou	2.813177
Wenzhou	Suzhou	0.572632
Hangzhou	Suzhou	1.533872
Wuxi	Suzhou	1.095451
Suzhou	Jinhua	1.273966
Jinhua	Suzhou	0.52562
Taian	Qingdao	1.695902
Taian	Liaocheng	3.24579
Taian	Jinan	11.166917
Taian	Linyi	3.773534
Qingdao	Taian	3.806297
Liaocheng	Taian	3.318459
Jinan	Taian	33.973629
Tianjin	Taian	0.96468
Beijing	Taian	2.066955
Linyi	Taian	6.781992
Shanghai	Taian	0.677876
Taizhou	Jinhua	3.749455
Taizhou	Shaoxing	2.251278
Taizhou	Wenzhou	9.609117
Taizhou	Hangzhou	2.482162
Taizhou	Enshi	0.747368
Taizhou	Ningbo	8.086334
Taizhou	Jiaxing	0.993835
Jinhua	Taizhou	6.984869
Suzhou	Taizhou	1.464756
Shaoxing	Taizhou	3.707538
Wenzhou	Taizhou	13.957387
Hangzhou	Taizhou	12.974793
Wuxi	Taizhou	0.874154
