all	kl64	kl47	product
281	19	5	cation efflux protein%2C CzcI-like
282	9	5	Non-coding region
283	4	6	efflux RND transporter periplasmic adaptor subunit
284	4	5	efflux RND transporter permease subunit
285	8	2	Non-coding region
286	5	3	Non-coding region
287	10	2	cation diffusion facilitator family transporter
288	8	9	hypothetical protein
289	9	2	hypothetical protein
290	20	10	hypothetical protein
291	12	6	amino acid permease
292	5	5	Non-coding region
293	13	3	glutamate--tRNA ligase
294	13	1	hypothetical protein
295	7	4	sulfate ABC transporter substrate-binding protein
296	14	7	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
297	15	1	cell division protein FtsL
298	6	7	penicillin-binding protein PBP3
299	4	6	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase
300	12	5	Non-coding region
301	13	2	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
302	6	3	phospho-N-acetylmuramoyl-pentapeptide-transferase
303	1	0	DUF7709 family protein
304	17	9	putative RNA methyltransferase
305	6	2	penicillin-binding protein PBP1a
306	11	4	Non-coding region
307	8	7	pilus assembly protein PilM
308	10	0	PilN domain-containing protein
309	14	0	type 4a pilus biogenesis protein PilO
310	13	6	pilus assembly protein PilP
311	8	4	Non-coding region
312	6	3	Non-coding region
313	6	7	shikimate kinase AroK
314	6	2	hypothetical protein
315	14	2	Non-coding region
316	2	3	glutamate synthase large subunit
317	5	1	Non-coding region
318	22	6	Non-coding region
319	23	4	Non-coding region
320	18	1	FAD-dependent oxidoreductase
321	20	5	Non-coding region
322	86	37	metal-dependent hydrolase
323	36	10	LemA family protein
324	11	2	TPM domain-containing protein
325	7	2	pilin
326	3	4	PglL family O-oligosaccharyltransferase
327	6	2	Non-coding region
328	11	4	heteropolymeric bacterioferritin subunit Bfr
329	15	3	RidA family protein
330	10	3	Non-coding region
331	12	1	hypothetical protein
332	7	3	DNA-directed RNA polymerase subunit omega
333	11	3	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
334	17	2	pilus assembly FimT family protein
335	14	8	PilW family protein
336	15	4	PilX N-terminal domain-containing pilus assembly protein
337	15	9	PilC/PilY family type IV pilus protein
338	12	8	Non-coding region
339	11	10	Non-coding region
340	8	4	Non-coding region
341	12	3	type IV pilin protein
342	4	2	30S ribosomal protein S16
343	8	3	tRNA (guanosine(37)-N1)-methyltransferase TrmD
344	9	7	lipase family alpha/beta hydrolase
345	10	9	lipase secretion chaperone
346	9	4	tRNA pseudouridine(55) synthase TruB
347	7	1	sulfite exporter TauE/SafE family protein
348	8	2	hemerythrin domain-containing protein
349	9	5	EamA family transporter
350	13	5	phosphoglycerate dehydrogenase
351	3	3	Non-coding region
352	3	4	FAD-binding oxidoreductase
353	5	0	Non-coding region
354	15	5	hypothetical protein
355	4	3	hypothetical protein
356	7	0	chloramphenicol efflux MFS transporter CraA
357	5	3	YccS family putative transporter
358	5	6	Non-coding region
359	21	4	superoxide dismutase family protein
360	79	18	AI-2E family transporter
361	119	34	ParA family protein
362	40	11	Holliday junction resolvase-like protein
363	4	3	hypothetical protein
364	5	4	class I SAM-dependent methyltransferase
365	4	4	hypothetical protein
366	7	5	Non-coding region
367	9	1	amino acid permease
368	10	1	Non-coding region
369	14	12	Glu/Leu/Phe/Val family dehydrogenase
370	13	4	aspartate aminotransferase family protein
371	6	2	Non-coding region
372	6	8	arginine N-succinyltransferase
373	6	4	succinylglutamate-semialdehyde dehydrogenase
374	11	15	N-succinylarginine dihydrolase
375	10	5	Non-coding region
376	12	8	succinylglutamate desuccinylase
377	8	2	hypothetical protein
378	14	6	hypothetical protein
379	17	13	Non-coding region
380	7	8	hypothetical protein
381	9	2	LysR family transcriptional regulator
382	7	2	DMT family transporter
383	2	2	YciI family protein
384	14	8	glycine--tRNA ligase subunit beta
385	9	1	Non-coding region
386	9	8	DUF6678 family protein
387	5	1	glycine--tRNA ligase subunit alpha
388	4	2	TCR/Tet family MFS transporter
389	6	3	putative DNA modification/repair radical SAM protein
390	5	2	Non-coding region
391	7	3	TIGR03915 family putative DNA repair protein
392	9	5	HPP family protein
393	1	3	PspC domain-containing protein
394	7	3	acyl-CoA dehydrogenase C-terminal domain-containing protein
395	4	2	Non-coding region
396	4	2	hypothetical protein
397	2	1	Non-coding region
398	2	5	shikimate dehydrogenase
399	0	3	oxygen-dependent coproporphyrinogen oxidase
400	9	8	GTP cyclohydrolase II
401	14	4	1-deoxy-D-xylulose-5-phosphate synthase
402	1	5	Non-coding region
403	6	2	inositol monophosphatase family protein
404	7	4	Non-coding region
405	7	5	DEAD/DEAH box helicase
406	8	5	Non-coding region
407	7	13	hypothetical protein
408	14	6	lipid asymmetry maintenance ABC transporter permease subunit MlaE
409	13	3	MlaC/ttg2D family ABC transporter substrate-binding protein
410	6	4	STAS domain-containing protein
411	18	4	LOG family protein
412	6	4	NUDIX hydrolase
413	9	9	ATP-dependent DNA helicase RecG
414	7	4	Non-coding region
415	9	1	NAD-dependent epimerase/dehydratase family protein
416	9	4	putative multidrug efflux protein AdeT2
417	7	2	glycerol-3-phosphate 1-O-acyltransferase PlsB
418	6	7	Non-coding region
419	7	7	Non-coding region
420	5	5	acyl-CoA thioesterase
421	7	5	dicarboxylate/amino acid:cation symporter
422	13	4	metal-dependent hydrolase
423	5	3	ribosome biogenesis GTP-binding protein YihA/YsxC
424	5	4	RrF2 family transcriptional regulator
425	1	5	globin domain-containing protein
426	3	2	helicase HerA-like domain-containing protein
427	1	2	PLP-dependent transferase
428	5	11	type 1 glutamine amidotransferase
430	3	9	50S ribosomal protein L3
431	22	6	50S ribosomal protein L23
432	6	3	30S ribosomal protein S19
433	1	3	50S ribosomal protein L22
434	6	3	50S ribosomal protein L16
435	7	3	50S ribosomal protein L14
436	0	8	30S ribosomal protein S14
437	4	8	50S ribosomal protein L6
438	0	1	50S ribosomal protein L30
439	0	1	preprotein translocase subunit SecY
440	7	7	50S ribosomal protein L36
441	5	5	30S ribosomal protein S11
442	0	2	DNA-directed RNA polymerase subunit alpha
443	3	4	50S ribosomal protein L17
444	3	4	Non-coding region
445	5	9	acyl-CoA dehydrogenase family protein
446	8	4	FAD assembly factor SdhE
447	5	5	Non-coding region
448	18	5	hypothetical protein
449	15	5	rhombosortase
450	12	2	Non-coding region
451	6	2	Non-coding region
452	7	4	hypothetical protein
453	11	0	Non-coding region
454	4	3	Non-coding region
455	10	4	ribonuclease R
461	18	8	Non-coding region
462	9	7	nitroreductase family protein
463	11	2	YcxB family protein
464	16	4	helix-turn-helix domain-containing protein
465	7	3	DMT family transporter
466	14	6	YihY family inner membrane protein
467	5	12	NAD(P)H:quinone oxidoreductase
468	2	2	xanthine phosphoribosyltransferase
469	12	6	hypothetical protein
470	6	5	energy transducer TonB
471	4	4	rRNA maturation RNase YbeY
472	5	3	PhoH family protein
473	2	4	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
474	2	4	Non-coding region
475	4	2	lytic transglycosylase domain-containing protein
476	5	2	Non-coding region
477	3	1	ribonuclease T2 family protein
478	5	6	Non-coding region
479	5	1	DUF2789 family protein
480	5	4	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
481	7	1	CDP-diacylglycerol--serine O-phosphatidyltransferase
482	6	5	DUF6670 family protein
483	4	4	Non-coding region
484	6	1	Non-coding region
485	14	1	Non-coding region
486	14	7	Non-coding region
487	0	6	Non-coding region
488	13	3	Non-coding region
489	4	0	putative signal transducing protein
490	10	4	DUF4256 domain-containing protein
491	6	5	TetR/AcrR family transcriptional regulator
492	22	3	acyclic terpene utilization AtuA family protein
493	4	3	Non-coding region
494	5	7	SDR family oxidoreductase
495	2	1	acyl-CoA carboxylase subunit beta
496	5	3	Non-coding region
497	3	2	acyl-CoA dehydrogenase family protein
498	5	0	enoyl-CoA hydratase/isomerase family protein
499	1	1	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
500	5	6	Non-coding region
501	3	3	hypothetical protein
502	6	2	glutathione S-transferase N-terminal domain-containing protein
503	3	2	30S ribosomal protein S9
504	5	2	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
505	3	5	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
506	5	2	DUF2147 domain-containing protein
507	2	1	LrgB family protein
508	1	2	hypothetical protein
509	14	2	lysophospholipid acyltransferase family protein
510	6	4	phospholipase D family protein
511	2	2	Non-coding region
512	3	7	metallophosphoesterase
513	3	5	OmpA family protein
514	5	0	diguanylate cyclase domain-containing protein
515	2	2	YfiR family protein
516	6	5	Non-coding region
517	6	3	Non-coding region
518	0	4	Non-coding region
519	5	3	Non-coding region
520	2	4	Non-coding region
521	2	5	dihydrolipoyl dehydrogenase
522	3	4	Non-coding region
523	2	6	hypothetical protein
524	3	2	Non-coding region
525	0	1	TIGR01244 family sulfur transferase
526	4	10	thioredoxin TrxC
527	4	3	acyl-CoA thioesterase
528	6	4	YajQ family cyclic di-GMP-binding protein
529	5	2	Non-coding region
530	13	9	hypothetical protein
531	4	5	YciI family protein
532	3	7	PHP domain-containing protein
533	4	5	bestrophin family protein
